Местное время в Перми,T
19.09.2023 17:00,10.1
19.09.2023 14:00,10.8
19.09.2023 11:00,10.1
19.09.2023 08:00,9.4
19.09.2023 05:00,10.2
19.09.2023 02:00,10.2
18.09.2023 23:00,10.6
18.09.2023 20:00,15.7
18.09.2023 17:00,19.6
18.09.2023 14:00,19.5
18.09.2023 11:00,16.5
18.09.2023 08:00,7.7
18.09.2023 05:00,6.7
18.09.2023 02:00,8.0
17.09.2023 23:00,9.8
17.09.2023 20:00,13.5
17.09.2023 17:00,20.6
17.09.2023 14:00,21.1
17.09.2023 11:00,17.1
17.09.2023 08:00,8.5
17.09.2023 05:00,7.4
17.09.2023 02:00,8.9
16.09.2023 23:00,10.0
16.09.2023 20:00,14.1
16.09.2023 17:00,20.5
16.09.2023 14:00,20.6
16.09.2023 11:00,17.4
16.09.2023 08:00,8.3
16.09.2023 05:00,8.9
16.09.2023 02:00,9.6
15.09.2023 23:00,11.2
15.09.2023 20:00,14.3
15.09.2023 17:00,21.0
15.09.2023 14:00,20.9
15.09.2023 11:00,18.6
15.09.2023 08:00,9.3
15.09.2023 05:00,7.9
15.09.2023 02:00,9.0
14.09.2023 23:00,10.6
14.09.2023 20:00,14.7
14.09.2023 17:00,21.0
14.09.2023 14:00,20.6
14.09.2023 11:00,17.8
14.09.2023 08:00,9.2
14.09.2023 05:00,7.2
14.09.2023 02:00,8.8
13.09.2023 23:00,10.1
13.09.2023 20:00,14.2
13.09.2023 17:00,20.7
13.09.2023 14:00,19.9
13.09.2023 11:00,17.2
13.09.2023 08:00,9.0
13.09.2023 05:00,6.9
13.09.2023 02:00,8.2
12.09.2023 23:00,10.0
12.09.2023 20:00,14.0
12.09.2023 17:00,19.8
12.09.2023 14:00,18.3
12.09.2023 11:00,17.0
12.09.2023 08:00,10.4
12.09.2023 05:00,9.5
12.09.2023 02:00,8.1
11.09.2023 23:00,8.9
11.09.2023 20:00,13.1
11.09.2023 17:00,16.5
11.09.2023 14:00,16.2
11.09.2023 11:00,14.3
11.09.2023 08:00,10.9
11.09.2023 05:00,10.1
11.09.2023 02:00,11.4
10.09.2023 23:00,11.2
10.09.2023 20:00,14.8
10.09.2023 17:00,16.8
10.09.2023 14:00,16.9
10.09.2023 11:00,16.2
10.09.2023 08:00,10.0
10.09.2023 05:00,8.4
10.09.2023 02:00,10.0
09.09.2023 23:00,10.4
09.09.2023 20:00,15.7
09.09.2023 17:00,19.7
09.09.2023 14:00,19.0
09.09.2023 11:00,16.6
09.09.2023 08:00,11.9
09.09.2023 05:00,12.0
09.09.2023 02:00,13.0
08.09.2023 23:00,13.0
08.09.2023 20:00,13.8
08.09.2023 17:00,17.8
08.09.2023 14:00,15.5
08.09.2023 11:00,11.9
08.09.2023 08:00,11.4
08.09.2023 05:00,11.2
08.09.2023 02:00,11.8
07.09.2023 23:00,12.1
07.09.2023 20:00,12.5
07.09.2023 17:00,15.3
07.09.2023 14:00,14.7
07.09.2023 11:00,16.7
07.09.2023 08:00,12.5
07.09.2023 05:00,13.1
07.09.2023 02:00,13.9
06.09.2023 23:00,14.0
06.09.2023 20:00,16.0
06.09.2023 17:00,19.4
06.09.2023 14:00,20.1
06.09.2023 11:00,17.1
06.09.2023 08:00,10.3
06.09.2023 05:00,7.2
06.09.2023 02:00,7.7
05.09.2023 23:00,10.4
05.09.2023 20:00,14.0
05.09.2023 17:00,17.4
05.09.2023 14:00,16.8
05.09.2023 11:00,15.9
05.09.2023 08:00,10.5
05.09.2023 05:00,9.6
05.09.2023 02:00,9.4
04.09.2023 23:00,11.0
04.09.2023 20:00,15.0
04.09.2023 17:00,17.8
04.09.2023 14:00,17.7
04.09.2023 11:00,15.0
04.09.2023 08:00,12.0
04.09.2023 05:00,12.2
04.09.2023 02:00,13.8
03.09.2023 23:00,12.9
03.09.2023 20:00,17.8
03.09.2023 17:00,19.5
03.09.2023 14:00,17.4
03.09.2023 11:00,15.1
03.09.2023 08:00,10.4
03.09.2023 05:00,7.6
03.09.2023 02:00,10.2
02.09.2023 23:00,10.4
02.09.2023 20:00,15.1
02.09.2023 17:00,16.8
02.09.2023 14:00,14.8
02.09.2023 11:00,11.9
02.09.2023 08:00,9.0
02.09.2023 05:00,7.5
02.09.2023 02:00,9.2
01.09.2023 23:00,10.4
01.09.2023 20:00,12.8
01.09.2023 17:00,14.0
01.09.2023 14:00,15.9
01.09.2023 11:00,14.7
01.09.2023 08:00,13.7
01.09.2023 05:00,13.2
01.09.2023 02:00,12.8
